,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
3668,MON,2023-05-30,2.68,-0.55,0.98,10.15,18.09,-85.86,34.74,-1.73,-23.14,,,-3.0,,-3.0,,-3.0,-3.0,-11.8,-11.79,-15.59,,0.0,5.45,33.3,34.39,6.82,45.16,45.16,-9.6,38.32,19.96,204.03,38.34,,-51.89,,3578.23,-90.05,-75.61,,-100.0,15.06,-71.14,-9.28,-100.0,19.96,-1229.57,-6.8,-77.04,,618.39,,,609.59
3669,MON,2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,MON,2008-08-08,94.7,75.11,86.58,129.2,1091.53,905.26,129.82,1137.23,,-100.0,,535.43,,535.43,,550.29,550.29,219.12,1384.72,180.3,,629.55,115.96,183.44,42.56,75.0,3084.41,3084.41,832.35,,197.17,387.34,24.42,,1390.17,,-96.43,51.08,-100.0,,-100.0,18.64,50.48,782.0,,197.17,29.87,76.0,-420.29,305.95,2057.04,,,28623.81
3671,MON,2014-08-19,72.02,93.32,36.28,33.81,147.08,-54.01,32.89,132.5,49.6,120.78,,139.12,,139.12,,134.36,134.36,99.22,45.73,137.46,-100.0,37.01,-22.62,69.23,49.46,15.26,469.0,-59.97,99.4,,83.72,19.91,0.0,,0.0,,3511.44,35.04,601.89,,,23.59,123.98,89.45,60.0,83.72,286.24,24.92,796.9,100.48,176.43,,,751.62
3672,MON,2015-08-26,9.39,24.57,15.25,-7.7,-44.08,-32.45,807.02,-148.18,92.9,1888.09,100.0,-626.57,,-626.57,,-795.64,-795.64,62.85,-57.8,79.34,,0.0,31.76,7.11,6.76,22.85,-18.39,-63.07,-24.1,,35.9,-33.82,0.22,,0.0,,265.45,25.66,945.39,,,28.05,141.29,79.64,-6.83,35.9,148.97,55.71,-563.25,-57.11,0.47,,,-2364.64
3673,MON,2016-08-24,-5.92,16.13,29.52,2.49,-711.35,-54.84,212.2,-680.24,,54.98,,-899.54,,-899.54,,-1029.67,-1029.67,30.4,-57.31,38.37,-100.0,9.99,7.38,1.7,-4.26,22.37,77.44,-49.59,-56.2,,18.48,-47.3,0.22,,0.0,,68.53,18.28,1183.31,,,17.71,164.75,52.78,-94.82,18.48,-241.87,32.18,59.7,-56.5,-5.38,,,28.43
3674,MON,2017-08-25,-23.94,-17.53,11.6,-37.13,-234.18,665.49,24164.38,-1029.34,143.77,357.81,,-1805.07,,-1805.07,,-2304.19,-2304.19,-65.04,-62.76,-68.64,,-34.06,-58.62,7.07,-20.97,-42.29,-21.96,-9.69,-61.4,,-33.04,-119.61,0.22,,0.0,,-98.82,141.92,4890.25,,,-55.46,423.53,30.66,-94.75,-33.04,121.52,26.73,103.19,-85.83,-109.26,,,-42.76
3675,MON,2018-08-28,-34.01,-25.94,6.55,29.69,-177.96,817.46,790.1,-174.22,-143.77,830.21,,-206.69,,-206.69,,-235.41,-235.41,-69.23,-2.54,-71.24,,-63.81,-38.8,-11.75,-44.1,-23.37,-45.81,945.64,-22.71,,-41.86,-125.53,0.22,,0.0,,-98.36,24.0,274.14,,,-52.19,135.75,63.6,-29.63,-41.86,-25.44,47.58,-98.2,-98.0,-93.28,,,-82.39
3676,MON,2019-09-27,-53.43,-45.68,-44.4,-22.79,-184.8,125.64,104.67,-443.7,-44.43,-89.23,,37.08,,37.08,,37.66,37.66,-72.2,-3.8,-76.04,,-45.04,-51.22,13.43,-48.04,-40.13,277.44,693.42,-46.62,,-39.57,-181.14,0.0,,0.0,,-98.53,140.63,193.59,,264.86,-56.3,114.92,-8.12,-47.25,-39.57,-88.15,-24.87,101.22,-90.58,-77.12,-100.0,,107.53
3677,MON,2020-09-22,-48.99,-51.49,-57.78,-53.84,77.14,176.19,-76.04,81.11,,-100.0,,83.07,,83.07,,83.01,83.01,-73.58,-11.67,-77.68,,-40.05,-49.35,13.64,-57.06,-29.91,367.95,1547.1,-25.15,,-42.5,-208.9,0.0,,0.0,,-98.43,92.86,88.42,,255.26,-56.62,78.35,26.04,-22.16,-42.5,94.63,-50.63,113.72,-100.0,-111.79,,,71.27
3678,MON,2021-09-24,-48.42,-49.99,-57.8,-46.31,94.7,-29.94,-97.32,98.38,-28.94,-99.94,99.29,99.73,,99.73,,99.72,99.72,-13.79,-16.12,-17.68,,0.0,10.98,-12.61,-48.54,77.78,39.6,134.6,-47.94,0.0,-12.95,-182.87,0.0,,-100.0,,25.53,55.7,-0.33,,-48.67,25.53,12.77,16.63,-21.34,-12.95,-410.7,-54.26,45.22,-100.0,94.79,,,-1148.61
3679,MON,2023-09-29,17.84,-1.79,-21.16,-34.7,261.65,-33.18,-85.84,121.48,-37.42,-45.71,52.55,112.26,,119.37,,119.37,119.37,-11.94,-10.98,-15.64,,0.0,4.53,22.83,10.76,39.27,7.86,14.27,-14.0,38.32,12.93,213.69,38.34,,-51.79,,3710.84,-78.17,-75.67,,-100.0,16.45,-73.39,-54.48,-100.0,12.93,735.46,-29.3,-70.73,-22.59,-103.69,,,72.05
3680,MON,2007-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3681,MON,2008-11-14,94.7,75.11,86.58,129.2,1091.53,905.26,129.82,1137.23,,-100.0,,535.43,,535.43,,550.29,550.29,219.12,1384.72,180.3,,629.55,115.96,183.44,42.56,75.0,3084.41,3084.41,832.35,,197.17,387.34,24.42,,1390.17,,-96.43,51.08,-100.0,,-100.0,18.64,50.48,782.0,,197.17,29.87,76.0,-420.29,305.95,2057.04,,,28623.81
3682,MON,2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,MON,2011-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,MON,2012-11-14,109.89,127.25,118.69,22.17,76.15,21.73,93.89,59.89,-100.0,,,-6.32,,-6.32,,-2.6,-2.6,132.23,38.91,148.06,,44.22,139.06,16.2,158.14,27.76,-92.93,-92.93,721.77,,64.17,20.37,0.0,,0.0,,14163.33,121.0,,,,636.67,103.53,34.3,-1.05,64.17,594.28,151.89,-131.35,190.44,-53.18,-100.0,,-116.18
3685,MON,2013-11-14,79.51,95.42,62.26,72.87,134.12,-80.55,-23.16,92.23,-42.18,52.38,-100.0,-48.75,,-48.75,,-50.92,-50.92,111.77,56.86,155.08,-100.0,-16.38,259.55,47.74,147.47,24.09,-63.97,-74.26,380.17,,77.61,15.62,0.0,,0.0,,4568.79,25.01,,,,23.6,63.51,86.05,-14.94,77.61,-166.16,109.6,-31.86,215.91,18672.97,,,110.49
3686,MON,2014-11-12,72.02,93.32,36.28,33.81,147.08,-54.01,32.89,132.5,49.6,120.78,,139.12,,139.12,,134.36,134.36,99.22,45.73,137.46,-100.0,37.01,-22.62,69.23,49.46,15.26,469.0,-59.97,99.4,,83.72,19.91,0.0,,0.0,,3511.44,35.04,601.89,,,23.59,123.98,89.45,60.0,83.72,286.24,24.92,796.9,100.48,176.43,,,751.62
3687,MON,2015-11-13,9.39,24.57,15.25,-7.7,-44.08,-32.45,807.02,-148.18,92.9,1888.09,100.0,-626.57,,-626.57,,-795.64,-795.64,62.85,-57.8,79.34,,0.0,31.76,7.11,6.76,22.85,-18.39,-63.07,-24.1,,35.9,-33.82,0.22,,0.0,,265.45,25.66,945.39,,,28.05,141.29,79.64,-6.83,35.9,148.97,55.71,-563.25,-57.11,0.47,,,-2364.64
3688,MON,2016-11-08,-5.92,16.13,29.52,2.49,-711.35,-54.84,212.2,-680.24,,54.98,,-899.54,,-899.54,,-1029.67,-1029.67,30.4,-57.31,38.37,-100.0,9.99,7.38,1.7,-4.26,22.37,77.44,-49.59,-56.2,,18.48,-47.3,0.22,,0.0,,68.53,18.28,1183.31,,,17.71,164.75,52.78,-94.82,18.48,-241.87,32.18,59.7,-56.5,-5.38,,,28.43
3689,MON,2017-11-16,-23.94,-17.53,11.6,-37.13,-234.18,665.49,24164.38,-1029.34,143.77,357.81,,-1805.07,,-1805.07,,-2304.19,-2304.19,-65.04,-62.76,-68.64,,-34.06,-58.62,7.07,-20.97,-42.29,-21.96,-9.69,-61.4,,-33.04,-119.61,0.22,,0.0,,-98.82,141.92,4890.25,,,-55.46,423.53,30.66,-94.75,-33.04,121.52,26.73,103.19,-85.83,-109.26,,,-42.76
3690,MON,2018-11-21,-34.01,-25.94,6.55,29.69,-177.96,817.46,790.1,-174.22,-143.77,830.21,,-206.69,,-206.69,,-235.41,-235.41,-69.23,-2.54,-71.24,,-63.81,-38.8,-11.75,-44.1,-23.37,-45.81,945.64,-22.71,,-41.86,-125.53,0.22,,0.0,,-98.36,24.0,274.14,,,-52.19,135.75,63.6,-29.63,-41.86,-25.44,47.58,-98.2,-98.0,-93.28,,,-82.39
3691,MON,2019-11-26,-53.43,-45.68,-44.4,-22.79,-184.8,125.64,104.67,-443.7,-44.43,-89.23,,37.08,,37.08,,37.66,37.66,-72.2,-3.8,-76.04,,-45.04,-51.22,13.43,-48.04,-40.13,277.44,693.42,-46.62,,-39.57,-181.14,0.0,,0.0,,-98.53,140.63,193.59,,264.86,-56.3,114.92,-8.12,-47.25,-39.57,-88.15,-24.87,101.22,-90.58,-77.12,-100.0,,107.53
3692,MON,2020-11-17,-48.99,-51.49,-57.78,-53.84,77.14,176.19,-76.04,81.11,,-100.0,,83.07,,83.07,,83.01,83.01,-73.58,-11.67,-77.68,,-40.05,-49.35,13.64,-57.06,-29.91,367.95,1547.1,-25.15,,-42.5,-208.9,0.0,,0.0,,-98.43,92.86,88.42,,255.26,-56.62,78.35,26.04,-22.16,-42.5,94.63,-50.63,113.72,-100.0,-111.79,,,71.27
3693,MON,2021-11-29,-48.42,-49.99,-57.8,-46.31,94.7,-29.94,-97.32,98.38,-28.94,-99.94,99.29,99.73,,99.73,,99.72,99.72,-13.79,-16.12,-17.68,,0.0,10.98,-12.61,-48.54,77.78,39.6,134.6,-47.94,0.0,-12.95,-182.87,0.0,,-100.0,,25.53,55.7,-0.33,,-48.67,25.53,12.77,16.63,-21.34,-12.95,-410.7,-54.26,45.22,-100.0,94.79,,,-1148.61
3694,MON,2022-10-01,-1.72,-3.81,-37.5,-38.11,142.45,-71.89,203.89,100.6,37.43,-100.22,12909.41,240.06,,1207.74,,1207.74,1207.74,-11.98,-8.62,-15.36,,0.0,-2.99,7.85,15.74,-37.89,-17.14,-10.13,-11.47,38.32,2.35,302.57,0.0,,-50.76,,4498.81,-60.33,-81.58,,-100.0,418.44,-74.11,-60.02,-100.0,2.35,-69.49,-49.52,-39.64,-92.55,-100.0,,,-69.16
3695,MON,2023-11-29,17.84,-1.79,-21.16,-34.7,261.65,-33.18,-85.84,121.48,-37.42,-45.71,52.55,112.26,,119.37,,119.37,119.37,-11.94,-10.98,-15.64,,0.0,4.53,22.83,10.76,39.27,7.86,14.27,-14.0,38.32,12.93,213.69,38.34,,-51.79,,3710.84,-78.17,-75.67,,-100.0,16.45,-73.39,-54.48,-100.0,12.93,735.46,-29.3,-70.73,-22.59,-103.69,,,72.05
3696,MON,2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697,MON,2008-02-27,94.7,75.11,86.58,129.2,1091.53,905.26,129.82,1137.23,,-100.0,,535.43,,535.43,,550.29,550.29,219.12,1384.72,180.3,,629.55,115.96,183.44,42.56,75.0,3084.41,3084.41,832.35,,197.17,387.34,24.42,,1390.17,,-96.43,51.08,-100.0,,-100.0,18.64,50.48,782.0,,197.17,29.87,76.0,-420.29,305.95,2057.04,,,28623.81
3698,MON,2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
